1.000000,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000049,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048,0.000048
2.000000,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214,0.414214
3.000000,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051,0.732051
4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
5.000000,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068,1.236068
6.000000,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490,1.449490
7.000000,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751,1.645751
8.000000,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427,1.828427
9.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
10.000000,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278,2.162278
